session_number,session_date,session_start_time,session_end_time,market_ticker,starting_balance,ending_balance,session_pnl,session_pnl_percent,trade_number,side,buy_time,buy_price,buy_quantity,buy_cost,buy_order_id,sold,sell_time,sell_price,sell_quantity,sell_proceeds,sell_order_id,exit_type,trade_pnl,trade_pnl_percent,hold_duration_seconds,outcome,emergency_exit,emergency_exit_time,emergency_exit_price,boundary_difference,market_outcome
27,2026-05-17,2026-05-17 12:46:01,2026-05-17 12:59:59,KXBTC15M-26MAY171300-00,15.29,15.355999999999998,0.06599999999999895,0.43165467625898596,1,NO,2026-05-17 12:56:02,0.989,6,5.934,307343d9-0374-41b7-8373-3f2976a8ae60,True,2026-05-17 12:59:59,1.0,6,6.0,,SETTLEMENT,0.06600000000000006,1.1122345803842275,237,WIN,False,,,,NO
3,2026-05-17,2026-05-17 13:31:02,2026-05-17 13:44:56,KXBTC15M-26MAY171345-45,15.35,15.41,0.0600000000000005,0.3908794788273648,1,YES,2026-05-17 13:43:12,0.9899999999999999,6,5.9399999999999995,16b7a96b-7759-49ad-b78a-7ab99ab58da8,True,2026-05-17 13:44:56,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,104,WIN,False,,,,YES
5,2026-05-17,2026-05-17 14:01:02,2026-05-17 14:14:57,KXBTC15M-26MAY171415-15,15.4,15.46,0.0600000000000005,0.3896103896103928,1,YES,2026-05-17 14:13:07,0.9899999999999999,6,5.9399999999999995,0a8be44c-ce56-4ccf-8971-fb1e982657dd,True,2026-05-17 14:14:57,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,110,WIN,False,,,,YES
8,2026-05-17,2026-05-17 14:46:02,2026-05-17 14:59:57,KXBTC15M-26MAY171500-00,15.45,15.51,0.0600000000000005,0.38834951456311,1,YES,2026-05-17 14:57:18,0.9899999999999999,6,5.9399999999999995,3be80e25-4840-4f3d-b970-130edbf7ecef,True,2026-05-17 14:59:57,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,159,WIN,False,,,,YES
11,2026-05-17,2026-05-17 15:31:02,2026-05-17 15:44:56,KXBTC15M-26MAY171545-45,15.5,15.56,0.0600000000000005,0.3870967741935516,1,YES,2026-05-17 15:40:46,0.9899999999999999,6,5.9399999999999995,6318fede-64d1-4d87-97e3-a87b33ba6d96,True,2026-05-17 15:44:56,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,250,WIN,False,,,,YES
14,2026-05-17,2026-05-17 16:16:02,2026-05-17 16:29:57,KXBTC15M-26MAY171630-30,15.55,15.64,0.08999999999999986,0.5787781350482306,1,NO,2026-05-17 16:26:54,0.985,6,5.91,5c71c603-b472-4319-89f8-7ea237a4fa90,True,2026-05-17 16:29:57,1.0,6,6.0,,SETTLEMENT,0.09000000000000008,1.5228426395939099,183,WIN,False,,,,NO
18,2026-05-17,2026-05-17 17:16:01,2026-05-17 17:29:56,KXBTC15M-26MAY171730-30,15.63,15.690000000000001,0.0600000000000005,0.3838771593090243,1,YES,2026-05-17 17:25:05,0.9899999999999999,6,5.9399999999999995,deb057f1-cfa9-434c-b75d-a7396b31fb4e,True,2026-05-17 17:29:56,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,291,WIN,False,,,,YES
21,2026-05-17,2026-05-17 18:01:01,2026-05-17 18:14:59,KXBTC15M-26MAY171815-15,15.68,15.74,0.0600000000000005,0.382653061224493,1,NO,2026-05-17 18:09:28,0.9899999999999999,6,5.9399999999999995,04c9431b-d8ad-4b2a-9713-2acb647f8793,True,2026-05-17 18:14:59,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,331,WIN,False,,,,NO
22,2026-05-17,2026-05-17 18:16:13,2026-05-17 18:29:59,KXBTC15M-26MAY171830-30,15.73,15.790000000000001,0.0600000000000005,0.38143674507311187,1,NO,2026-05-17 18:26:38,0.9899999999999999,6,5.9399999999999995,e6c53495-3200-42f4-aba6-8f90fb24312d,True,2026-05-17 18:29:59,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,201,WIN,False,,,,NO
25,2026-05-17,2026-05-17 19:01:01,2026-05-17 19:14:58,KXBTC15M-26MAY171915-15,15.78,15.84,0.0600000000000005,0.3802281368821324,1,NO,2026-05-17 19:12:33,0.9899999999999999,6,5.9399999999999995,3dc0c775-61c3-4cde-a002-dfd789d5d078,True,2026-05-17 19:14:58,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,145,WIN,False,,,,NO
27,2026-05-17,2026-05-17 19:31:02,2026-05-17 19:44:59,KXBTC15M-26MAY171945-45,15.83,15.89,0.0600000000000005,0.37902716361339545,1,NO,2026-05-17 19:40:34,0.9899999999999999,6,5.9399999999999995,220a69ae-46f6-429a-95ab-ad685084dc0f,True,2026-05-17 19:44:59,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,265,WIN,False,,,,NO
28,2026-05-17,2026-05-17 19:46:08,2026-05-17 19:59:55,KXBTC15M-26MAY172000-00,15.88,15.940000000000001,0.0600000000000005,0.3778337531486177,1,YES,2026-05-17 19:56:43,0.9899999999999999,6,5.9399999999999995,5eb6fc73-36ca-48a7-a801-300c1bff6eb4,True,2026-05-17 19:59:55,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,192,WIN,False,,,,YES
29,2026-05-17,2026-05-17 20:01:06,2026-05-17 20:14:57,KXBTC15M-26MAY172015-15,15.93,15.99,0.0600000000000005,0.3766478342749561,1,NO,2026-05-17 20:09:36,0.9899999999999999,6,5.9399999999999995,d10baa0a-3c7a-4395-a4dc-4f5e00fcafdb,True,2026-05-17 20:14:57,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,321,WIN,False,,,,NO
32,2026-05-17,2026-05-17 20:46:02,2026-05-17 20:59:56,KXBTC15M-26MAY172100-00,15.98,16.046,0.06599999999999895,0.4130162703379158,1,YES,2026-05-17 20:57:40,0.989,6,5.934,bd7ad1c6-5d5c-4369-9ce1-2f980099273f,True,2026-05-17 20:59:56,1.0,6,6.0,,SETTLEMENT,0.06600000000000006,1.1122345803842275,136,WIN,False,,,,YES
34,2026-05-17,2026-05-17 21:16:02,2026-05-17 21:29:57,KXBTC15M-26MAY172130-30,16.04,16.112,0.07199999999999918,0.4488778054862792,1,NO,2026-05-17 21:26:53,0.988,6,5.928,7c8b9b47-4a26-44c8-82b8-a73730a9aac8,True,2026-05-17 21:29:57,1.0,6,6.0,,SETTLEMENT,0.07200000000000006,1.2145748987854261,184,WIN,False,,,,NO
36,2026-05-17,2026-05-17 21:46:02,2026-05-17 21:59:58,KXBTC15M-26MAY172200-00,16.1,16.160000000000004,0.060000000000002274,0.37267080745343023,1,YES,2026-05-17 21:55:55,0.9899999999999999,6,5.9399999999999995,61d2ae67-60f8-414d-945e-2d36db166683,True,2026-05-17 21:59:58,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,243,WIN,False,,,,YES
39,2026-05-17,2026-05-17 22:31:01,2026-05-17 22:44:57,KXBTC15M-26MAY172245-45,16.15,16.21,0.060000000000002274,0.3715170278637912,1,NO,2026-05-17 22:40:51,0.9899999999999999,6,5.9399999999999995,50fb5eff-0687-4c28-9e85-2fba7bf8334d,True,2026-05-17 22:44:57,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,246,WIN,False,,,,NO
40,2026-05-17,2026-05-17 22:46:08,2026-05-17 22:59:56,KXBTC15M-26MAY172300-00,16.2,16.259999999999998,0.05999999999999872,0.37037037037036247,1,NO,2026-05-17 22:56:42,0.9899999999999999,6,5.9399999999999995,191f8441-80d2-4230-ba8d-5b57195738f8,True,2026-05-17 22:59:56,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,194,WIN,False,,,,NO
41,2026-05-17,2026-05-17 23:01:13,2026-05-17 23:14:56,KXBTC15M-26MAY172315-15,16.26,16.32,0.05999999999999872,0.3690036900368925,1,YES,2026-05-17 23:10:26,0.9899999999999999,6,5.9399999999999995,1b8f3199-cdda-46f2-96ad-1f4e5b54accc,True,2026-05-17 23:14:56,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,270,WIN,False,,,,YES
42,2026-05-17,2026-05-17 23:16:13,2026-05-17 23:29:57,KXBTC15M-26MAY172330-30,16.31,16.369999999999997,0.05999999999999872,0.3678724708767549,1,YES,2026-05-17 23:27:47,0.9899999999999999,6,5.9399999999999995,4f5ae179-83b8-432e-a002-6ae32e86108b,True,2026-05-17 23:29:57,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,130,WIN,False,,,,YES
46,2026-05-18,2026-05-18 00:16:01,2026-05-18 00:30:00,KXBTC15M-26MAY180030-30,16.36,16.42,0.060000000000002274,0.3667481662591826,1,NO,2026-05-18 00:24:21,0.9899999999999999,6,5.9399999999999995,c75b97fd-2cf9-421f-afd1-8caca37f946c,True,2026-05-18 00:30:00,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,339,WIN,False,,,,NO
47,2026-05-18,2026-05-18 00:31:08,2026-05-18 00:44:56,KXBTC15M-26MAY180045-45,16.42,16.480000000000004,0.060000000000002274,0.3654080389768713,1,YES,2026-05-18 00:40:28,0.9899999999999999,6,5.9399999999999995,316c5c98-f5ce-4dcd-a599-0b4ed8f18702,True,2026-05-18 00:44:56,1.0,6,6.0,,SETTLEMENT,0.06000000000000072,1.0101010101010224,268,WIN,False,,,,YES
