session_number,session_date,session_start_time,session_end_time,market_ticker,starting_balance,ending_balance,session_pnl,side,buy_time,buy_price,buy_quantity,sell_time,sell_price,exit_type,trade_pnl,market_outcome
1,2026-06-07,2026-06-07 18:11:33,2026-06-07 18:15:00,KXBTC15M-26JUN071815-15,7.11,7.11,0.0,,,,,,,,,
1,2026-06-07,2026-06-07 18:29:27,2026-06-07 18:30:00,KXBTC15M-26JUN071830-30,8.47,8.47,0.0,,,,,,,,,
1,2026-06-07,2026-06-07 18:30:26,2026-06-07 18:45:00,KXBTC15M-26JUN071845-45,8.47,8.63,0.16,no,2026-06-07 18:30:29,0.42,8,2026-06-07 18:30:50,0.44,TAKE_PROFIT,0.16,
3,2026-06-07,2026-06-07 18:45:34,2026-06-07 19:00:00,KXBTC15M-26JUN071900-00,8.63,8.84,0.21,no,2026-06-07 18:45:36,0.49,7,2026-06-07 18:48:05,0.52,TAKE_PROFIT,0.21,
5,2026-06-07,2026-06-07 19:00:33,2026-06-07 19:15:00,KXBTC15M-26JUN071915-15,8.84,9.08,0.24,yes,2026-06-07 19:03:59,0.42,8,2026-06-07 19:05:07,0.45,TAKE_PROFIT,0.24,
7,2026-06-07,2026-06-07 19:15:33,2026-06-07 19:30:00,KXBTC15M-26JUN071930-30,9.08,9.44,0.36,yes,2026-06-07 19:15:35,0.36,9,2026-06-07 19:15:39,0.4,TAKE_PROFIT,0.36,
9,2026-06-07,2026-06-07 19:30:33,2026-06-07 19:45:00,KXBTC15M-26JUN071945-45,10.08,10.32,0.24,no,2026-06-07 19:30:35,0.45,8,2026-06-07 19:31:10,0.48,TAKE_PROFIT,0.24,
1,2026-06-07,2026-06-07 19:54:32,2026-06-07 20:00:01,KXBTC15M-26JUN072000-00,13.43,13.43,0.0,,,,,,,,,
